variable;include;filter;facet;reduced;group;subscale;analysis;type;2015;2016;2017;2018;2019
MPT.score;TRUE;FALSE;FALSE;TRUE;DATA;MPT;TRUE;numeric;;;;;
num_restarts;TRUE;FALSE;FALSE;FALSE;TEST;DATA;FALSE;integer;;;;NA;
num_tests_taken;TRUE;TRUE;FALSE;TRUE;TEST;DATA;FALSE;integer;;;;;
PAC;TRUE;FALSE;FALSE;TRUE;DATA;PAC;TRUE;numeric;;;;;
PIAT.score;TRUE;FALSE;FALSE;TRUE;DATA;PIAT;TRUE;numeric;NA;NA;NA;PIAT.ability;
PIAT.error;TRUE;FALSE;FALSE;FALSE;DATA;PIAT;FALSE;numeric;NA;NA;NA;PIAT.ability_sem;
RAT.score;TRUE;FALSE;FALSE;TRUE;DATA;RAT;TRUE;numeric;NA;NA;NA;NA;RAT.score
RAT.error;TRUE;FALSE;FALSE;FALSE;DATA;RAT;FALSE;numeric;NA;NA;NA;NA;RAT.error
SCA.score;TRUE;FALSE;FALSE;TRUE;DATA;SCA;TRUE;numeric;SCA;SCA;SCA;SCX;
SCA.type;TRUE;FALSE;FALSE;FALSE;DATA;SCA;FALSE;character;;;;;
SCS;TRUE;FALSE;FALSE;TRUE;DATA;SCS;TRUE;numeric;;;;;
SDQ.conduct_problems;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SDQ.difficulties;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SDQ.emotional_problems;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SDQ.externalising;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SDQ.hyperactivity;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SDQ.internalising;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SDQ.peer_problems;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SDQ.prosocial;TRUE;FALSE;FALSE;TRUE;DATA;SDQ;TRUE;numeric;;;;;
SEM.attentiveness;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.behavioral_engagement;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.cognitive_engagement;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.cognitive_strategy_use;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.emotional_engagement;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.school_belonging;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.school_compliance;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.self_regulated_learning;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SEM.valuing_of_school_education;TRUE;FALSE;FALSE;TRUE;DATA;SEM;TRUE;numeric;;;;;
SES.class;TRUE;FALSE;FALSE;TRUE;DATA;SES;FALSE;numeric;;;;;
SES.educational_degree;TRUE;FALSE;FALSE;TRUE;DATA;SES;FALSE;numeric;;;;;
SOS.effort;TRUE;FALSE;FALSE;TRUE;DATA;SOS;FALSE;numeric;;;;NA;
SOS.importance;TRUE;FALSE;FALSE;TRUE;DATA;SOS;FALSE;numeric;;;;NA;
TOM.entity;TRUE;FALSE;FALSE;TRUE;DATA;TOM;TRUE;numeric;;;;;
TOM.gift;TRUE;FALSE;FALSE;TRUE;DATA;TOM;TRUE;numeric;;;;;
TOM.improvement;TRUE;FALSE;FALSE;TRUE;DATA;TOM;TRUE;numeric;;;;;
